Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
23,Hufflepuff,Rosie,Tuggle,1999-07-05,Left,44987.0,673.1671096812503,0.1315163054974428,-6.731671096812503,9.421,-709.6964283834683,461.89673418950485,0.5318228689636264,1073.5852035654214,6.346026797398995,1.7477697551565254,-245.83067000000003,23.46
1523,Ravenclaw,Carlotta,Irons,2001-02-13,Right,62717.0,-569.1924117691048,4.599632527512048,5.691924117691048,4.617,418.9198193189324,608.5049386684711,4.830469550583242,1038.539982227264,5.980643173836643,-0.9140014479646524,-231.88163,-9.29
32,Ravenclaw,Carroll,Kersey,1999-10-20,Right,56259.0,-301.4833725111648,4.470596381712079,3.0148337251116484,6.545,887.0278523685254,650.5954044412074,5.728551916089313,1075.0938286730584,9.550556841973153,-1.1975563813262404,-229.64984,-35.06
566,Hufflepuff,Aurelia,Fitzsimmons,1999-10-20,Right,64073.0,431.491068028304,3.9220819895983534,-4.31491068028304,4.904,-226.93985067380052,333.70473751706606,8.144382894867919,1041.7872195613506,2.247135039773137,0.6173058309966585,-244.61593,-106.56
99,Hufflepuff,Dovie,Darden,1997-10-09,Right,72219.0,385.2596952999597,5.81125399995247,-3.8525969529995976,4.1080000000000005,-507.4167192404275,379.1414663677916,3.67506946331026,1056.1924277622848,1.9250482727865847,0.3371504289632541,-245.50725,-32.85
518,Ravenclaw,Liz,Poland,2000-02-27,Right,44217.0,-409.3996585318081,6.753362020280843,4.093996585318081,6.341,787.4788523949478,640.2603522638933,1.4532199998001838,1051.7530623312723,4.884673921671773,1.404605811561492,-229.1267,50.45
1187,Gryffindor,Ashley,Fogg,1999-11-14,Right,70815.0,705.148717153519,-3.006154116514529,-7.051487171535188,5.088,-778.0701283422238,611.3870324899258,-6.612904554880463,941.7784156610612,1.2671998809657734,0.0259586204187125,-255.70441,225.08
1352,Ravenclaw,Marty,Wooley,1997-12-24,Left,45086.0,-428.1444965106461,5.516780646765225,4.28144496510646,5.752999999999999,402.8904851446405,645.5116464327699,5.60662265833106,1058.9306412596277,10.189491578878831,-0.0792823891991479,-229.4998,19.09
1175,Ravenclaw,Evelyn,Beebe,1996-12-13,Right,50798.0,-378.0098103149662,5.9386019221727775,3.780098103149662,5.412000000000001,291.32760613211184,585.8174468835215,,1047.312300470106,7.169587597158621,-0.4527954136714215,-231.54736,2.54
807,Hufflepuff,Bridgette,Handy,2000-05-06,Right,45747.0,551.8562682274037,2.6313624390441808,-5.5185626822740375,5.848,-652.6556517145442,414.5576008199456,5.520352987331378,1065.6832793671442,8.00377255330945,-0.3043691432118827,-245.02736,-18.94
394,Ravenclaw,Nicki,Jeter,1997-09-06,Left,58598.0,-351.3199643323684,7.528875287922487,3.5131996433236834,6.174,244.03262007130783,640.6980782758437,6.8321877522418815,1038.756369043973,8.727507483125986,0.1881421839375918,-229.70223,22.81
1395,Hufflepuff,Ike,Galvez,1999-04-21,Right,73991.0,93.52254735484192,5.675772962768682,-0.9352254735484192,4.0,-782.1520997357958,430.6443281936069,5.1008397798133,1069.0707923031296,5.717533919590039,0.6902622663407092,-242.57102000000003,-33.02
1452,Slytherin,Salvatore,Foster,1998-10-15,Left,30827.0,-665.0711894621867,-3.19200972497365,6.650711894621867,-3.819,-579.4392742845793,397.15109582348975,6.5975082494266974,1036.7639633785163,9.543293733011687,-0.6223818046647475,-245.40229,-49.92
352,Gryffindor,Ines,Bess,1999-05-23,Left,39603.0,507.64321323507073,-4.284523849094794,-5.076432132350707,5.254,-562.5140156977353,610.9198813895089,-5.025782253755974,965.4106914718976,4.809941653792787,-0.2650824694340689,-251.48853,206.45
570,Hufflepuff,Kathy,Brody,2001-01-18,Left,70192.0,420.0188576086634,6.2964695835810005,-4.200188576086634,6.894,-595.4663198376061,384.1764654736427,3.1636995835486657,1060.7816703470028,0.9790416419192772,-0.4560528417981576,-243.45619,-29.89
415,Ravenclaw,Stacy,Oaks,1999-02-01,Right,65622.0,-543.1547402540655,1.95017390157804,5.4315474025406525,4.578,466.4130783865327,616.1647677109927,3.458360412658321,,5.8857893627957845,-0.9338314659170862,-234.15355,-15.58
611,Ravenclaw,Roxie,Mccue,1997-09-20,Left,55893.0,-590.6621574402811,4.551859005450488,5.906621574402813,4.214,134.42365088553964,584.2190870494833,9.652543555981511,1037.6428672237923,9.808689796370896,-0.3512637128776349,-231.00467000000003,-43.78
300,Gryffindor,Glenda,Madigan,1997-08-02,Right,52510.0,347.75631645228475,-6.337557205127222,-3.477563164522848,4.885,-351.8122573439852,576.4127727578856,-4.066826991730523,951.3182118021408,1.8815763618634969,,-252.32769,142.41
69,Hufflepuff,Tia,Shoemaker,2000-01-03,Right,58659.0,558.9850768521734,7.199280557305688,-5.589850768521735,3.763,-384.84017139647807,366.7438360311535,8.973601303380999,1037.306718944929,4.961227318522902,1.3333567521300267,-243.94171,-47.23
1493,Hufflepuff,Rosalind,Shank,2000-12-16,Right,62205.0,706.5193013025998,1.9091293107169365,-7.065193013025999,8.445,-580.3712272444664,371.3229745861128,7.390881166813591,1068.152572390709,5.704590082944097,0.3051855711559427,-245.39275,-96.22
1036,Ravenclaw,Tyrell,Seely,2000-10-11,Left,66041.0,-413.3502933505077,6.213905014320656,4.133502933505077,5.142,403.38300452186064,581.4930545805289,5.159439836655297,1034.877862450079,4.504157636305292,1.0245354264265754,-232.32374,-11.51
782,Ravenclaw,Peter,Holtz,1999-04-07,Right,48243.0,-596.4312900051709,7.0196948417129095,5.964312900051709,3.742,754.1741944276444,580.254409288536,3.645966636043664,1055.0394352646283,4.610958137962847,0.5067313949200287,-229.76045,-0.53
59,Gryffindor,Millicent,Corcoran,1997-10-07,Right,45361.0,579.2673013893152,-4.812674685782127,-5.792673013893156,5.589,-286.93824511056187,592.320612107805,-3.2307414012837987,974.1081657516604,4.820525642893224,0.602047949653184,-251.28892,150.33
636,Ravenclaw,Rita,Radford,2000-05-26,Left,57378.0,-639.1249720856505,6.063934220852053,6.391249720856504,4.104,356.9216216086233,589.8445336546629,7.004155592882579,1026.3947695662116,6.191102327416452,-0.0859917694518048,-230.35909,-12.19
1018,Ravenclaw,Steve,Mowery,2001-08-17,Right,67107.0,-792.4373384428418,5.875318818094293,7.924373384428418,2.994,105.3818433093454,618.6443812971861,3.4692084396562097,1003.760893958572,3.744471249723585,-0.0490502067083376,-232.4512,48.39
759,Gryffindor,Mellissa,Mcgrew,1999-02-22,Left,63263.0,513.3770447990878,-1.919077634291552,-5.133770447990878,4.677,-967.3473613555708,696.6504423003707,-7.758135771166036,969.6552246970758,6.09417401386066,-2.6455007142393847,-252.52002,279.07
677,Gryffindor,Cherie,Payne,1999-12-02,Right,39887.0,542.1615787269393,-5.519751078273735,-5.421615787269393,4.583,-618.9237072197554,579.5418493727008,-5.110191674555249,938.7835423272188,2.7592838555389463,-1.8147903955283708,-254.13693,209.09
1292,Slytherin,Franklin,Groves,1997-06-25,Right,50338.0,-585.0417818820745,-5.00457302726304,5.850417818820745,-2.893,-625.0853929814264,382.5045121570874,6.080210001723538,1052.7014639953843,8.636264155657889,-1.493354491229113,-247.77766,-99.74
527,Gryffindor,Richard,Pappas,2001-11-04,Right,31765.0,411.043314295632,-6.802548265388247,-4.11043314295632,4.613,-427.5692262733616,575.7238710312366,-2.3054106019382976,972.4572657103909,6.479295070294842,-0.3662349553697081,-251.38382,143.56
1553,Hufflepuff,Emilio,Donahue,1999-08-15,Right,71095.0,,6.709313673721121,-2.5285657496046383,5.237,-572.0697708060736,401.4323237227092,2.982157023608812,1056.207465845058,1.3626214894326771,0.0759879522043677,-243.0045,-16.0
817,Ravenclaw,Marquita,Hills,2000-09-21,Right,,-503.32467771798514,6.250759064967183,5.033246777179851,5.292999999999998,521.855577939956,613.4951241962325,4.400605357896984,1031.3509187154814,4.341988199465996,0.2492219376366393,-231.03647,3.23
244,Hufflepuff,Karon,Mark,1999-12-20,Left,66565.0,361.9800102191497,4.45404862959058,-3.6198001021914967,4.799,-866.8427272644722,452.7848731514724,7.87236895670368,1071.8149474606157,10.360315166602984,-1.6660242860479877,-243.37157,-36.79
1043,Ravenclaw,Santos,Blair,1999-05-17,Left,17450.0,-530.5989462753648,5.4937689597128045,5.305989462753648,4.463,457.53885715684726,566.069394855204,5.390684189069519,1070.8498349040085,9.409833676158293,-0.8819843062002123,-228.96558,10.87
1410,Gryffindor,Vonda,Pierson,1999-04-20,Right,41751.0,564.4638565591445,-6.375112054630423,-5.644638565591444,3.207,-705.9784396988823,594.0375740080759,-4.626894269310712,938.2600919246984,4.850524192464591,-0.3098857435967547,-255.86529,215.51
1073,Hufflepuff,Jefferson,Sommer,1997-12-02,Left,66357.0,501.1177801839037,3.9932711682506494,-5.011177801839036,6.327999999999999,-515.2669526068374,370.18481337483047,5.2443437333369936,1059.6280682929996,2.9967745022887384,1.44891479975111,-245.05749,-64.12
1462,Gryffindor,Lawanda,Epstein,1998-05-10,Left,47337.0,608.47441568077,-3.6603943480930106,-6.084744156807702,5.8370000000000015,-807.4118699644655,578.7508241868227,-6.227014265750952,943.3181562659208,1.3567000353111935,0.0899929927618717,-253.7658,225.4
1429,Ravenclaw,Osvaldo,Lassiter,2001-09-20,Right,32931.0,-609.3808303159508,6.858854438241575,6.0938083031595065,3.784,594.0858696032377,576.8524470613878,4.748018612516816,1069.890741592439,7.633852688548236,1.51663907340619,-228.64198,3.92
1205,Hufflepuff,Bettie,Hammonds,1998-06-12,Left,44738.0,,8.41551173260271,-4.113732498977279,2.502,-347.0657417338411,351.296797613773,4.990752671019752,1035.065310114371,1.9804532246462827,-0.7113201405200736,-243.73544,10.5
1107,Hufflepuff,Alejandro,Gilson,2001-09-28,Left,32999.0,670.5475357921506,5.5310173653761385,-6.7054753579215065,4.529,-541.7591467261582,427.2737274691647,4.240065304569715,1045.615388177736,7.241918599514455,-0.4999438851154227,-244.88975,56.25
1398,Hufflepuff,Cedrick,Batson,1999-04-21,Right,41635.0,585.3417745039408,7.818014714940289,-5.853417745039407,3.751,,432.4515575319918,4.3408505677622085,1032.3248051575636,5.423754810125534,-0.0809055962422514,-243.80638,66.07
535,Hufflepuff,Booker,Berry,2000-12-09,Left,36893.0,558.0903141065529,6.7751602780575615,-5.580903141065528,6.665,-536.0724925239151,449.31752646430994,4.4509857594008615,1040.0073192316331,5.87209281282002,0.6691565383585465,-241.45432,55.87
1567,Ravenclaw,Dwayne,Hsu,2000-12-08,Right,47693.0,-604.3609362411065,5.705586854016715,6.043609362411065,3.817,164.8091678752364,569.8705453199843,6.380304931416683,1038.1193373609042,7.206193441210877,1.6318721856825429,-231.30052,-0.2
1303,Hufflepuff,Ivonne,Binder,1999-12-03,Left,80251.0,209.9412917917984,4.801150623947773,-2.0994129179179835,6.005,-869.4265838493643,353.9804921454713,5.560624366609385,1090.2901701302542,3.5240943965204985,1.09007489940156,-243.62155,-103.27
298,Ravenclaw,Marietta,Mireles,1997-03-26,Left,87451.0,-435.7746720829237,6.7178557883593975,4.357746720829237,6.336,503.5842648646336,610.9441070782707,4.6902685941663655,1044.4261897662434,3.431096471114256,-1.1170478332133786,-231.45441,-36.62
764,Hufflepuff,Edwina,Bowlin,1997-06-09,Right,25688.0,747.8422978737239,7.163628052691895,-7.478422978737239,3.156,-362.9694876595945,339.06348133055326,8.427301854457149,1033.9716673931327,6.289892381075775,-0.8666645564094669,-244.72435,2.06
344,Slytherin,Lynwood,Maple,2000-05-23,Left,82130.0,-402.10608553199575,-6.614747374329476,4.021060855319957,-3.486,-613.5016308636312,393.6624107882125,7.711014936732589,1030.122492665803,8.115482791762231,-0.948363856823849,-252.16677,-138.43
530,Ravenclaw,Nikita,Hoppe,2000-04-22,Right,47628.0,-313.01295841229376,5.039512136821782,3.1301295841229377,6.272,498.2128438422968,591.4533171157891,4.878161343278385,1069.1619005211323,7.797000350331088,0.1476321522139137,-231.09474,-15.45
1084,Gryffindor,Sydney,Plummer,1998-12-21,Left,29087.0,541.6613426855222,-1.7589427927166326,-5.416613426855222,10.032,-520.9453754830906,558.3110504470146,-6.395423444339527,960.702289476338,-1.1671049910605924,-0.5774089095376884,-247.1138,205.18
534,Ravenclaw,Jayne,Bard,1999-01-23,Right,52478.0,-653.3102078099739,6.925201622042708,6.533102078099739,4.904,724.147554636943,610.7140264619057,6.484064180382362,1059.476660159699,7.2207443787655485,-0.3184691799977897,-227.25197000000003,-29.86
1285,Gryffindor,Marshall,Giron,2000-06-19,Right,70010.0,258.9341614422865,-6.9778881954345175,-2.5893416144228647,3.878,-448.8955418218991,576.4728318633063,-4.468341367335189,942.2656196784624,0.5810204151038771,-1.0057692321753606,-254.28586,130.13
471,Gryffindor,Wilton,Magana,1998-11-27,Left,65467.0,239.1882792648753,-6.180161180423785,-2.3918827926487527,4.092,-499.1213697139947,632.9842851592583,-4.500631241462612,958.0481088556404,3.9634512037425313,0.146778176958873,-252.27461,159.24
610,Ravenclaw,Lenard,Gossett,1998-01-20,Right,32545.0,-581.774988324162,4.241942955162856,5.81774988324162,4.085,426.3585939521449,611.7405704855347,5.105351325327249,1051.8803453554538,9.432562737699389,-2.143138693263421,-230.31755,20.8
185,Hufflepuff,Valentina,Gibson,1997-04-26,Left,53960.0,505.681327072416,6.049238885737318,-5.05681327072416,4.136,-457.606407640011,387.68178055707983,1.6309298190349684,1047.4329375994148,1.6857734765235663,0.4470020411128702,-245.93674,26.64
707,Slytherin,Arleen,Oneill,1998-06-12,Right,45096.0,-518.5517654281848,-6.165713015161269,5.185517654281847,,-404.7080474676685,395.5486243459624,5.599384675338986,1050.928742853694,10.452801350598085,-1.5923049783747394,-250.46158,-82.31
49,Gryffindor,Efren,Sotelo,2000-03-24,Left,53157.0,642.0668078877801,-3.731583390209028,-6.4206680788778,5.537000000000001,-430.8413869051128,592.0578084894732,-5.679532987655486,952.4800067295448,1.6241740139985756,-2.0024508868722384,-253.20894,195.93
1114,Hufflepuff,Devon,Pitts,1997-06-16,Left,29524.0,704.0250829399617,3.0366198285868444,-7.040250829399617,6.2410000000000005,-433.0159735101527,320.31860529605365,6.655488930393902,1055.8322726386168,4.8485661340548205,0.6870686742151322,-245.38657,-50.35
818,Ravenclaw,Dewey,Clough,1999-08-25,Left,25772.0,-416.26457722956206,6.011744981269377,4.162645772295621,4.957,382.7671266839748,584.1024162347406,2.1074686378487058,1058.5672250651166,6.750471534544598,-0.3457099781966098,-230.97128,59.04
124,Hufflepuff,Jonathan,Kingsbury,2000-06-06,Right,40304.0,575.2121843783339,4.274065280088816,-5.752121843783338,,0.6005743975177502,336.50614583541494,8.121613195628488,1018.2205012936674,3.744288425463465,-0.1253705817111685,-246.37242,-45.07
903,Hufflepuff,Claudio,Ackerman,1997-12-04,Left,87485.0,160.41647659977562,5.399528155831042,-1.6041647659977565,4.541,-656.2565588444749,397.0455119024009,6.758871662068592,1067.29945517026,4.11324849808359,-0.5119915066568471,-243.25293,-90.5
339,Ravenclaw,Christin,Curran,2000-04-27,Right,40544.0,669.2621350157823,3.892077909130968,-6.692621350157823,5.185,-529.4304883443879,417.33977661893965,5.240489126428881,1050.6306147177222,7.389162455779313,-0.1614869175727828,-245.4716,13.18
834,Hufflepuff,Sherry,Kelso,2000-02-13,Right,36526.0,558.6261765243312,2.4673656032578912,-5.586261765243311,5.327999999999999,-606.7309073356575,425.26542622854754,7.4126133064462785,1058.2857090050964,10.16651263580838,-0.385447033494488,-244.27058,-15.48
907,Slytherin,Brooks,Ramsay,2000-03-13,Left,60650.0,-473.208117132488,-8.499475425259629,4.7320811713248805,-4.166,-231.0971268882753,422.3571530502464,7.811875863034698,1023.1661232422972,9.852735119108504,0.588092195231575,-250.81829,-123.42
309,Slytherin,Stacey,Crouse,1999-10-28,Right,37273.0,-614.0486161818812,-4.904819241191567,6.140486161818813,-4.718,-505.3700103361954,384.3865040093263,6.114746268856534,1048.862295798725,9.843033939339035,1.0696268021734785,-247.90016,-76.72
366,Slytherin,Cornell,Anthony,1998-10-26,Right,40097.0,-554.0335576517107,,5.540335576517107,-6.254,-356.24232082562514,408.25224069222776,2.009160776341677,1067.306228429033,9.376646780143844,-0.6540492575299354,-250.09809,-37.38
361,Hufflepuff,Connie,Altman,1997-01-15,Left,54483.0,630.4975109781776,4.805572680387328,-6.304975109781776,7.501,-433.7154556740855,389.2053009082005,4.526551209902573,1047.366542861895,2.6885702391181603,0.5301255630235352,-244.04898,-21.83
601,Ravenclaw,Ignacio,Nagy,2000-06-23,Right,47484.0,-739.4546373772978,3.820398336002017,7.394546373772976,2.78,437.1379585403337,579.1290757809908,6.0142263126892805,1043.9414791246854,7.462290173996031,-1.4070304787535792,-231.38048,-23.2
